Beach,Date,Hour,Wind_speed,Gust,Wave,Period,Temperature,Wind_direction,Wave_direction,Degrees
Cabo Higuer,20,13h,10,17,"1,3",14,16,S (181.3476271108976°),ONO (282°),OFF-SHORE
Cabo Higuer,20,16h,5,10,"1,1",14,16,SSO (194.06473408941426°),O (281°),OFF-SHORE
Cabo Higuer,20,19h,8,13,"1,1",13,15,S (174.7764354289375°),O (281°),OFF-SHORE
Cabo Higuer,20,22h,8,15,"1,0",14,14,S (182.00089700049767°),ONO (282°),OFF-SHORE
Cabo Higuer,21,04h,11,16,"1,6",14,14,O (272.86232897424617°),ONO (295°),SIDE-SHORE
Cabo Higuer,21,07h,11,18,"1,6",13,13,OSO (246.63937873972702°),ONO (298°),SIDE-SHORE
Cabo Higuer,21,10h,15,24,"1,7",13,12,O (264.81687732944033°),ONO (298°),SIDE-SHORE
Cabo Higuer,21,13h,8,16,"1,7",13,12,SO (221.05381000807503°),ONO (297°),OFF-SHORE
Cabo Higuer,21,16h,4,5,"2,0",12,11,SO (230.87274396658998°),ONO (300°),OFF-SHORE
Cabo Higuer,21,19h,4,4,"2,1",11,10,SO (227.21867944876718°),ONO (302°),OFF-SHORE
Cabo Higuer,21,22h,4,4,"2,1",11,10,SO (221.8636378055003°),NO (304°),OFF-SHORE
Cabo Higuer,22,04h,4,5,"1,7",11,8,SE (133.437394489633°),NO (305°),OFF-SHORE
Cabo Higuer,22,07h,3,5,"1,5",11,8,SE (141.486139687057°),NO (306°),OFF-SHORE
Cabo Higuer,22,10h,4,6,"1,3",10,8,SE (136.0935195250977°),NO (306°),OFF-SHORE
Cabo Higuer,22,13h,4,9,"1,3",10,10,ESE (118.32959669845953°),NO (307°),SIDE-SHORE
Cabo Higuer,22,16h,6,11,"1,3",10,11,ESE (116.49230626865854°),NO (306°),SIDE-SHORE
Cabo Higuer,22,19h,4,7,"1,3",10,10,SSE (158.8366762567016°),NO (307°),OFF-SHORE
Cabo Higuer,22,22h,5,7,"1,3",10,10,SSO (209.23869882097964°),NO (306°),OFF-SHORE
Cabo Higuer,23,04h,6,8,"1,1",10,10,SO (216.79757081170393°),NO (305°),OFF-SHORE
Cabo Higuer,23,07h,4,6,"1,0",9,10,SSO (200.55615601804342°),NO (304°),OFF-SHORE
Cabo Higuer,23,10h,5,6,"0,9",9,10,S (178.1122400531904°),ONO (302°),OFF-SHORE
Cabo Higuer,23,13h,4,7,"0,9",9,11,E (98.97257135790986°),ONO (301°),SIDE-SHORE
Cabo Higuer,23,16h,4,7,"0,9",9,12,E (95.84935442287286°),ONO (300°),SIDE-SHORE
Cabo Higuer,23,19h,5,8,"0,9",9,10,ESE (110.00059850785736°),ONO (298°),SIDE-SHORE
Cabo Higuer,23,22h,5,8,"0,9",9,10,SE (136.00504530185938°),ONO (296°),OFF-SHORE
"Donostia-San Sebastian, Donostia DAVIS",14,07h,6,12,"0,4",14,13,S (190.27245084008013°),ONO (293°),OFF-SHORE
